method,parameter,repetition,mean_error_rad,max_mean_error_rad,l1_error,max_l1_error,min_evaluated_density,max_normalization_error
FIGFAN,31,14,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,14,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,15,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,15,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,16,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,16,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,17,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,17,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,18,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,18,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,19,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,19,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,20,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,20,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,21,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,21,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,22,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,22,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,23,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,23,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,24,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,24,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,25,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,25,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,26,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,26,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,27,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,27,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,28,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,28,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,29,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,29,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,63,0,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,0,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,1,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,1,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,2,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,2,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,3,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,3,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,4,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,4,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,5,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
