method,parameter,repetition,runtime_s
FIGFDN,1023,4,0.0024449669999739854
FIGFAN,1023,5,0.002476736000062374
FIGFDN,1023,5,0.002476736000062374
FIGFAN,1023,6,0.0024395359999971333
FIGFDN,1023,6,0.0024395359999971333
FIGFAN,1023,7,0.0024608869999838134
FIGFDN,1023,7,0.0024608869999838134
FIGFAN,1023,8,0.0024654250000821776
FIGFDN,1023,8,0.0024654250000821776
FIGFAN,1023,9,0.002453973000001497
FIGFDN,1023,9,0.002453973000001497
FIGFAN,1023,10,0.0024695529999689825
FIGFDN,1023,10,0.0024695529999689825
FIGFAN,1023,11,0.002474292000101741
FIGFDN,1023,11,0.002474292000101741
FIGFAN,1023,12,0.0026974099999961254
FIGFDN,1023,12,0.0026974099999961254
FIGFAN,1023,13,0.0024660070000663836
FIGFDN,1023,13,0.0024660070000663836
FIGFAN,1023,14,0.0039059270000052493
FIGFDN,1023,14,0.0039059270000052493
FIGFAN,1023,15,0.0024679500000956978
FIGFDN,1023,15,0.0024679500000956978
FIGFAN,1023,16,0.002585731000067426
FIGFDN,1023,16,0.002585731000067426
FIGFAN,1023,17,0.0024351790000309848
FIGFDN,1023,17,0.0024351790000309848
FIGFAN,1023,18,0.002458111999999346
FIGFDN,1023,18,0.002458111999999346
FIGFAN,1023,19,0.002523483999993914
FIGFDN,1023,19,0.002523483999993914
FIGFAN,1023,20,0.0024562080000123387
FIGFDN,1023,20,0.0024562080000123387
FIGFAN,1023,21,0.0024428420000504047
FIGFDN,1023,21,0.0024428420000504047
FIGFAN,1023,22,0.002475784000012027
FIGFDN,1023,22,0.002475784000012027
FIGFAN,1023,23,0.002429598000048827
FIGFDN,1023,23,0.002429598000048827
FIGFAN,1023,24,0.0024413400000184993
FIGFDN,1023,24,0.0024413400000184993
FIGFAN,1023,25,0.0024799620000521827
FIGFDN,1023,25,0.0024799620000521827
FIGFAN,1023,26,0.0024434340000425436
FIGFDN,1023,26,0.0024434340000425436
FIGFAN,1023,27,0.0024675590000242664
FIGFDN,1023,27,0.0024675590000242664
FIGFAN,1023,28,0.0024283559999958015
FIGFDN,1023,28,0.0024283559999958015
FIGFAN,1023,29,0.0024414499999920736
FIGFDN,1023,29,0.0024414499999920736
FIGFAN,2047,0,0.0045688410000366275
FIGFDN,2047,0,0.0045688410000366275
FIGFAN,2047,1,0.007571213999995052
FIGFDN,2047,1,0.007571213999995052
FIGFAN,2047,2,0.007813263000002735
FIGFDN,2047,2,0.007813263000002735
FIGFAN,2047,3,0.0048046830000885166
FIGFDN,2047,3,0.0048046830000885166
FIGFAN,2047,4,0.004498038000065208
FIGFDN,2047,4,0.004498038000065208
FIGFAN,2047,5,0.004666384999950424
FIGFDN,2047,5,0.004666384999950424
FIGFAN,2047,6,0.004430050999985724
FIGFDN,2047,6,0.004430050999985724
FIGFAN,2047,7,0.004393933000073957
FIGFDN,2047,7,0.004393933000073957
FIGFAN,2047,8,0.004388433000031
FIGFDN,2047,8,0.004388433000031
FIGFAN,2047,9,0.004405385000040951
FIGFDN,2047,9,0.004405385000040951
FIGFAN,2047,10,0.004761862999998812
FIGFDN,2047,10,0.004761862999998812
FIGFAN,2047,11,0.004408159000035994
FIGFDN,2047,11,0.004408159000035994
FIGFAN,2047,12,0.004419891999987158
FIGFDN,2047,12,0.004419891999987158
FIGFAN,2047,13,0.004419922000010956
FIGFDN,2047,13,0.004419922000010956
FIGFAN,2047,14,0.004402318000074956
FIGFDN,2047,14,0.004402318000074956
FIGFAN,2047,15,0.004417727000031846
FIGFDN,2047,15,0.004417727000031846
FIGFAN,2047,16,0.004401056000006065
FIGFDN,2047,16,0.004401056000006065
FIGFAN,2047,17,0.004388122000023031
FIGFDN,2047,17,0.004388122000023031
FIGFAN,2047,18,0.0044547469999542955
FIGFDN,2047,18,0.0044547469999542955
FIGFAN,2047,19,0.004450668999993468
FIGFDN,2047,19,0.004450668999993468
FIGFAN,2047,20,0.0044388169999365346
FIGFDN,2047,20,0.0044388169999365346
FIGFAN,2047,21,0.004400536000048305
FIGFDN,2047,21,0.004400536000048305
FIGFAN,2047,22,0.004595117999997456
FIGFDN,2047,22,0.004595117999997456
FIGFAN,2047,23,0.00446166999995512
FIGFDN,2047,23,0.00446166999995512
FIGFAN,2047,24,0.004446680999990349
FIGFDN,2047,24,0.004446680999990349
FIGFAN,2047,25,0.004421174000071915
FIGFDN,2047,25,0.004421174000071915
FIGFAN,2047,26,0.004450668999993468
FIGFDN,2047,26,0.004450668999993468
FIGFAN,2047,27,0.004418740000005528
FIGFDN,2047,27,0.004418740000005528
FIGFAN,2047,28,0.004422287000011238
FIGFDN,2047,28,0.004422287000011238
FIGFAN,2047,29,0.004448795000030259
FIGFDN,2047,29,0.004448795000030259
FIGFAN,4095,0,0.005878078000023379
FIGFDN,4095,0,0.005878078000023379
FIGFAN,4095,1,0.005611377000036555
FIGFDN,4095,1,0.005611377000036555
FIGFAN,4095,2,0.00538631400002032
FIGFDN,4095,2,0.00538631400002032
FIGFAN,4095,3,0.005255970999996862
FIGFDN,4095,3,0.005255970999996862
FIGFAN,4095,4,0.005402775999982623
FIGFDN,4095,4,0.005402775999982623
FIGFAN,4095,5,0.005297037999980603
FIGFDN,4095,5,0.005297037999980603
FIGFAN,4095,6,0.005396653999923728
FIGFDN,4095,6,0.005396653999923728
FIGFAN,4095,7,0.0052887210000562845
FIGFDN,4095,7,0.0052887210000562845
FIGFAN,4095,8,0.005343894999896293
FIGFDN,4095,8,0.005343894999896293
FIGFAN,4095,9,0.005245760999969207
FIGFDN,4095,9,0.005245760999969207
FIGFAN,4095,10,0.005407805000004373
FIGFDN,4095,10,0.005407805000004373
FIGFAN,4095,11,0.00525046999996448
FIGFDN,4095,11,0.00525046999996448
FIGFAN,4095,12,0.005839304000005541
FIGFDN,4095,12,0.005839304000005541
FIGFAN,4095,13,0.0052759879999939585
FIGFDN,4095,13,0.0052759879999939585
FIGFAN,4095,14,0.005427812999982962
FIGFDN,4095,14,0.005427812999982962
FIGFAN,4095,15,0.005320051000012427
FIGFDN,4095,15,0.005320051000012427
FIGFAN,4095,16,0.0053329439999743045
FIGFDN,4095,16,0.0053329439999743045
FIGFAN,4095,17,0.005269906000080482
FIGFDN,4095,17,0.005269906000080482
FIGFAN,4095,18,0.005398597999942467
FIGFDN,4095,18,0.005398597999942467
FIGFAN,4095,19,0.005271910000033131
FIGFDN,4095,19,0.005271910000033131
FIGFAN,4095,20,0.005358903000001192
FIGFDN,4095,20,0.005358903000001192
FIGFAN,4095,21,0.00528009499998916
FIGFDN,4095,21,0.00528009499998916
FIGFAN,4095,22,0.00535082799990505
FIGFDN,4095,22,0.00535082799990505
FIGFAN,4095,23,0.00525127099990641
FIGFDN,4095,23,0.00525127099990641
FIGFAN,4095,24,0.005386324999903991
FIGFDN,4095,24,0.005386324999903991
FIGFAN,4095,25,0.005273944000009578
FIGFDN,4095,25,0.005273944000009578
FIGFAN,4095,26,0.005376676999958363
FIGFDN,4095,26,0.005376676999958363
FIGFAN,4095,27,0.005400010000016664
FIGFDN,4095,27,0.005400010000016664
FIGFAN,4095,28,0.006297142999983407
FIGFDN,4095,28,0.006297142999983407
FIGFAN,4095,29,0.006134107999969274
FIGFDN,4095,29,0.006134107999969274
PWC,15,0,0.0012641009999470043
PWC,15,1,0.001189190999980383
PWC,15,2,0.0011067570000022897
PWC,15,3,0.0010889129999895886
PWC,15,4,0.0010904160000109187
PWC,15,5,0.0010803569999779938
PWC,15,6,0.0010861480000130541
PWC,15,7,0.0010934019999240263
PWC,15,8,0.0011056539999572124
PWC,15,9,0.0010994220000384303
PWC,15,10,0.0011019069999065323
PWC,15,11,0.0010854870000684969
PWC,15,12,0.0010801870000705094
PWC,15,13,0.001079795999999078
PWC,15,14,0.0010835929999757354
PWC,15,15,0.0010916869999846313
PWC,15,16,0.001084192999996958
PWC,15,17,0.0010878110000476227
PWC,15,18,0.0010905460000003586
PWC,15,19,0.0010890429999790285
PWC,15,20,0.0010890029999472972
PWC,15,21,0.001103230000012445
PWC,15,22,0.0010963070000116204
