method,parameter,repetition,runtime_s,mean_error_rad,max_mean_error_rad,l1_error,max_l1_error,min_evaluated_density,max_normalization_error
FIGFAN,15,21,0.003310609999971348,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,21,0.003310609999971348,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,22,0.0031709589999309173,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,22,0.0031709589999309173,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,23,0.0019222099999751663,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,23,0.0019222099999751663,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,24,0.0014169690000471746,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,24,0.0014169690000471746,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,25,0.0014932209999187762,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,25,0.0014932209999187762,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,26,0.0013806100000692823,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,26,0.0013806100000692823,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,27,0.0014237610000691348,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,27,0.0014237610000691348,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,28,0.0013710029999174367,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,28,0.0013710029999174367,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,15,29,0.0013626960000010513,0.00037127327519091854,0.0007527997614724669,0.052505517026089424,0.06977719898415553,-0.02228312705891837,4.440892098500626e-16
FIGFDN,15,29,0.0013626960000010513,0.0003705794240861988,0.0007479783428649966,0.0022540511356163146,0.005428266183491507,2.271584883320999e-07,3.3306690738754696e-16
FIGFAN,31,0,0.0015046329999677255,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,0,0.0015046329999677255,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,1,0.0015112950000002456,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,1,0.0015112950000002456,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,2,0.0014378870000655297,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,2,0.0014378870000655297,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,3,0.0014845050000076299,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,3,0.0014845050000076299,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,4,0.0014091740000594655,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,4,0.0014091740000594655,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,5,0.0014578540000229623,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,5,0.0014578540000229623,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,6,0.0014306739999483398,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,6,0.0014306739999483398,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,7,0.001418851999915205,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,7,0.001418851999915205,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,8,0.001460028999986207,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,8,0.001460028999986207,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,9,0.0014297220000116795,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,9,0.0014297220000116795,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,10,0.001477041000043755,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,10,0.001477041000043755,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,11,0.0014458819999845218,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
